"Date","Upstream1_MinDO","Location.x","Impoundment1_MinDO","Location.y","Diff"
2013-12-14,10.9867,"Upstream1",11.16,"Impoundment1",-0.173299999999999
2013-12-15,10.6433,"Upstream1",10.6033,"Impoundment1",0.0399999999999991
2013-12-16,10.42,"Upstream1",10.4067,"Impoundment1",0.0132999999999992
2013-12-17,10.59,"Upstream1",10.6933,"Impoundment1",-0.103300000000001
2013-12-18,10.4633,"Upstream1",10.5067,"Impoundment1",-0.0434000000000001
2013-12-19,10.7233,"Upstream1",10.86,"Impoundment1",-0.136699999999999
2013-12-20,10.5767,"Upstream1",10.8567,"Impoundment1",-0.279999999999999
2013-12-21,10.24,"Upstream1",10.1567,"Impoundment1",0.0832999999999995
2013-12-22,9.74,"Upstream1",9.25333,"Impoundment1",0.48667
2013-12-23,8.79667,"Upstream1",8.54,"Impoundment1",0.256670000000002
2013-12-24,9.13333,"Upstream1",8.48,"Impoundment1",0.65333
2013-12-25,10.4733,"Upstream1",9.50667,"Impoundment1",0.96663
2013-12-26,10.8567,"Upstream1",10.92,"Impoundment1",-0.0632999999999999
2013-12-27,10.6767,"Upstream1",10.85,"Impoundment1",-0.173299999999999
2013-12-28,10.7033,"Upstream1",10.9833,"Impoundment1",-0.279999999999999
2013-12-29,10.21,"Upstream1",9.47,"Impoundment1",0.74
2013-12-30,10.19,"Upstream1",0,"Impoundment1",10.19
2013-12-31,11.3533,"Upstream1",0.01,"Impoundment1",11.3433
2014-01-01,11.7467,"Upstream1",0.166667,"Impoundment1",11.580033
2014-01-02,11.7967,"Upstream1",11.2,"Impoundment1",0.5967
2014-01-03,11.7667,"Upstream1",9.69,"Impoundment1",2.0767
2014-01-04,12.2667,"Upstream1",10.17,"Impoundment1",2.0967
2014-01-05,12.2733,"Upstream1",5.41667,"Impoundment1",6.85663
2014-01-06,11.83,"Upstream1",5.21333,"Impoundment1",6.61667
2014-01-07,11.8333,"Upstream1",0.206667,"Impoundment1",11.626633
2014-01-08,12.3567,"Upstream1",NA,NA,NA
2014-01-09,6.38,"Upstream1",NA,NA,NA
2014-01-10,0,"Upstream1",NA,NA,NA
2014-01-11,4.5,"Upstream1",NA,NA,NA
2014-01-12,0.00666667,"Upstream1",NA,NA,NA
2014-01-13,0,"Upstream1",NA,NA,NA
2014-01-14,12.1067,"Upstream1",NA,NA,NA
2014-01-15,12.2767,"Upstream1",NA,NA,NA
2014-01-16,12.4067,"Upstream1",NA,NA,NA
2014-01-17,12.5133,"Upstream1",NA,NA,NA
2014-01-18,12.52,"Upstream1",NA,NA,NA
2014-01-19,12.65,"Upstream1",NA,NA,NA
2014-01-20,12.6667,"Upstream1",NA,NA,NA
