"site","Time","Date","Dissolved.Oxygen","TimeStamp"
"NeuseDown2B","07:45:00","2017-09-29",5.95333,"After"
"NeuseDown2B","08:00:00","2017-09-29",5.96333,"After"
"NeuseDown2B","08:15:00","2017-09-29",5.93,"After"
"NeuseDown2B","08:30:00","2017-09-29",5.90667,"After"
"NeuseDown2B","08:45:00","2017-09-29",5.90667,"After"
"NeuseDown2B","09:00:00","2017-09-29",5.90667,"After"
"NeuseDown2B","09:15:00","2017-09-29",5.87667,"After"
"NeuseDown2B","09:30:00","2017-09-29",5.83333,"After"
"NeuseDown2B","09:45:00","2017-09-29",5.81667,"After"
"NeuseDown2B","10:00:00","2017-09-29",5.85333,"After"
"NeuseDown2B","10:15:00","2017-09-29",5.79333,"After"
"NeuseDown2B","10:30:00","2017-09-29",5.83667,"After"
"NeuseDown2B","10:45:00","2017-09-29",5.79,"After"
"NeuseDown2B","11:00:00","2017-09-29",5.78333,"After"
"NeuseDown2B","11:15:00","2017-09-29",5.78667,"After"
"NeuseDown2B","11:30:00","2017-09-29",5.78,"After"
"NeuseDown2B","11:45:00","2017-09-29",5.72333,"After"
"NeuseDown2B","12:00:00","2017-09-29",5.76333,"After"
"NeuseDown2B","12:15:00","2017-09-29",5.77,"After"
"NeuseDown2B","12:30:00","2017-09-29",5.77667,"After"
"NeuseDown2B","12:45:00","2017-09-29",5.8,"After"
"NeuseDown2B","13:00:00","2017-09-29",5.83333,"After"
"NeuseDown2B","13:15:00","2017-09-29",5.78333,"After"
"NeuseDown2B","13:30:00","2017-09-29",5.83,"After"
"NeuseDown2B","13:45:00","2017-09-29",5.87667,"After"
"NeuseDown2B","14:00:00","2017-09-29",5.92,"After"
"NeuseDown2B","06:15:00","2017-10-11",5.96333,"After"
"NeuseDown2B","06:30:00","2017-10-11",5.91333,"After"
"NeuseDown2B","06:45:00","2017-10-11",5.89667,"After"
"NeuseDown2B","07:00:00","2017-10-11",5.9,"After"
"NeuseDown2B","07:15:00","2017-10-11",5.89333,"After"
"NeuseDown2B","07:30:00","2017-10-11",5.84,"After"
"NeuseDown2B","07:45:00","2017-10-11",5.81667,"After"
"NeuseDown2B","08:00:00","2017-10-11",5.81333,"After"
"NeuseDown2B","08:15:00","2017-10-11",5.75667,"After"
"NeuseDown2B","08:30:00","2017-10-11",5.71667,"After"
"NeuseDown2B","08:45:00","2017-10-11",5.72333,"After"
"NeuseDown2B","09:00:00","2017-10-11",5.71667,"After"
