"site","Time","Date","Dissolved.Oxygen","TimeStamp"
"NeuseUp1","06:30:00","2018-07-26",1.79333,"After"
"NeuseUp1","06:45:00","2018-07-26",1.38667,"After"
"NeuseUp1","07:00:00","2018-07-26",1.07,"After"
"NeuseUp1","07:15:00","2018-07-26",0.813333,"After"
"NeuseUp1","07:30:00","2018-07-26",0.476667,"After"
"NeuseUp1","07:45:00","2018-07-26",0.363333,"After"
"NeuseUp1","08:00:00","2018-07-26",0.33,"After"
"NeuseUp1","08:15:00","2018-07-26",0.486667,"After"
"NeuseUp1","08:30:00","2018-07-26",0.72,"After"
"NeuseUp1","08:45:00","2018-07-26",0.46,"After"
"NeuseUp1","09:00:00","2018-07-26",0.303333,"After"
"NeuseUp1","09:15:00","2018-07-26",0.263333,"After"
"NeuseUp1","09:30:00","2018-07-26",0.293333,"After"
"NeuseUp1","09:45:00","2018-07-26",0.273333,"After"
"NeuseUp1","10:00:00","2018-07-26",0.24,"After"
"NeuseUp1","10:15:00","2018-07-26",0.356667,"After"
"NeuseUp1","10:30:00","2018-07-26",0.56,"After"
"NeuseUp1","10:45:00","2018-07-26",0.48,"After"
"NeuseUp1","11:00:00","2018-07-26",0.606667,"After"
"NeuseUp1","11:15:00","2018-07-26",0.813333,"After"
"NeuseUp1","11:30:00","2018-07-26",0.59,"After"
"NeuseUp1","11:45:00","2018-07-26",0.443333,"After"
"NeuseUp1","12:00:00","2018-07-26",0.33,"After"
"NeuseUp1","12:15:00","2018-07-26",0.286667,"After"
"NeuseUp1","12:30:00","2018-07-26",0.443333,"After"
"NeuseUp1","12:45:00","2018-07-26",0.406667,"After"
"NeuseUp1","13:00:00","2018-07-26",0.233333,"After"
"NeuseUp1","13:15:00","2018-07-26",0.303333,"After"
"NeuseUp1","13:30:00","2018-07-26",0.313333,"After"
"NeuseUp1","13:45:00","2018-07-26",0.34,"After"
"NeuseUp1","14:00:00","2018-07-26",0.253333,"After"
"NeuseUp1","14:15:00","2018-07-26",0.253333,"After"
"NeuseUp1","14:30:00","2018-07-26",0.19,"After"
"NeuseUp1","14:45:00","2018-07-26",0.266667,"After"
"NeuseUp1","15:00:00","2018-07-26",0.116667,"After"
"NeuseUp1","15:15:00","2018-07-26",0.08,"After"
"NeuseUp1","15:30:00","2018-07-26",0.116667,"After"
"NeuseUp1","15:45:00","2018-07-26",0.0933333,"After"
"NeuseUp1","16:00:00","2018-07-26",0.0766667,"After"
"NeuseUp1","16:15:00","2018-07-26",0.0733333,"After"
