"Date","AvgDO"
2014-06-15,6.797256875
2014-06-16,6.69086791666667
2014-06-17,6.511006875
2014-06-18,6.49746520833333
2014-06-19,6.61569458333333
2014-06-20,6.4556596875
2014-06-21,6.23399302083333
2014-06-22,6.136180625
2014-06-23,6.37343760416667
2014-06-24,6.35614572916667
2014-06-25,6.29142375
2014-06-26,6.0381246875
2014-06-27,6.46635447916667
2014-06-28,6.589791875
2014-06-29,6.7059725
2014-06-30,6.6628125
2014-07-01,6.43343729166667
2014-07-02,6.3339234375
2014-07-03,6.50736166666667
2014-07-04,6.5312153125
2014-07-05,6.66746489583333
2014-07-06,6.70656270833333
2014-07-07,6.58392302083333
2014-07-08,6.3015278125
2014-07-09,6.19628479166667
2014-07-10,6.44868020833333
2014-07-11,6.47416708333333
2014-07-12,6.52850729166667
2014-07-13,6.2755559375
2014-07-14,6.0260065625
2014-07-15,5.8268059375
2014-07-16,6.18868041666667
2014-07-17,6.0887846875
2014-07-18,5.93152791666667
2014-07-19,6.69954927083333
2014-07-20,6.56982635416667
2014-07-21,6.3917709375
2014-07-22,6.32072947916667
2014-07-23,6.01875010416667
2014-07-24,5.58878510416667
2014-07-25,6.52218770833333
2014-07-26,6.29597270833333
2014-07-27,6.19947979166667
2014-07-28,6.58715270833333
2014-07-29,6.5990971875
2014-07-30,6.65798635416667
2014-07-31,6.64163166666667
2014-08-01,8.80118083333333
2014-08-02,9.45322885416667
2014-08-03,9.0126384375
2014-08-04,8.966875
2014-08-05,8.76326416666667
2014-08-06,8.36336802083333
2014-08-07,6.85236104166667
2014-08-08,6.93486083333333
2014-08-09,6.97704854166667
2014-08-10,7.31972239583333
2014-08-11,7.1287846875
2014-08-12,6.92138875
2014-08-13,6.783090625
2014-08-14,6.84031260416667
2014-08-15,6.75808989583333
2014-08-16,6.76885416666667
2014-08-17,6.5554515625
2014-08-18,6.47729125
2014-08-20,6.78480352941176
2014-08-21,6.60715270833333
2014-08-22,6.46177114583333
2014-08-23,6.42628479166667
2014-08-24,6.6109025
2014-08-25,6.7797225
2014-08-26,6.90274333333333
2014-08-27,7.00340270833333
2014-08-28,6.905069375
2014-08-29,6.71163208333333
