"Date","AvgDO","Site","TimeStamp","Location"
2013-12-15,10.8635041666667,"Upstream1","Before","Upstream"
2013-12-16,10.7952114583333,"Upstream1","Before","Upstream"
2013-12-17,10.91326875,"Upstream1","Before","Upstream"
2013-12-18,10.8407322916667,"Upstream1","Before","Upstream"
2013-12-19,11.0820875,"Upstream1","Before","Upstream"
2013-12-20,10.9241354166667,"Upstream1","Before","Upstream"
2013-12-21,10.6744791666667,"Upstream1","Before","Upstream"
2013-12-22,10.1452830208333,"Upstream1","Before","Upstream"
2013-12-23,9.28454697916667,"Upstream1","Before","Upstream"
2013-12-24,9.75607635416667,"Upstream1","Before","Upstream"
2013-12-25,10.8418385416667,"Upstream1","Before","Upstream"
2013-12-26,11.0367697916667,"Upstream1","Before","Upstream"
2013-12-27,10.9830552083333,"Upstream1","Before","Upstream"
2013-12-28,10.9929510416667,"Upstream1","Before","Upstream"
2013-12-29,10.5398947916667,"Upstream1","Before","Upstream"
2013-12-30,10.5243416666667,"Upstream1","Before","Upstream"
2013-12-31,11.5699270833333,"Upstream1","Before","Upstream"
2014-01-01,11.8672489583333,"Upstream1","Before","Upstream"
2014-01-02,11.8510083333333,"Upstream1","Before","Upstream"
2014-01-03,12.0034010416667,"Upstream1","Before","Upstream"
2014-01-04,12.359240625,"Upstream1","Before","Upstream"
2014-01-05,12.3521260416667,"Upstream1","Before","Upstream"
2014-01-06,12.1793385416667,"Upstream1","Before","Upstream"
2014-01-07,12.2507291666667,"Upstream1","Before","Upstream"
2014-01-08,12.50503125,"Upstream1","Before","Upstream"
2014-01-14,12.1829145833333,"Upstream1","Before","Upstream"
2014-01-15,12.3941302083333,"Upstream1","Before","Upstream"
2014-01-16,12.5133364583333,"Upstream1","Before","Upstream"
2014-01-17,12.6008010416667,"Upstream1","Before","Upstream"
2014-01-18,12.6312552083333,"Upstream1","Before","Upstream"
2014-01-19,12.7405604166667,"Upstream1","Before","Upstream"
2014-01-20,12.7582322916667,"Upstream1","Before","Upstream"
2014-01-21,12.71055625,"Upstream1","Before","Upstream"
2014-01-22,12.2847635416667,"Upstream1","Before","Upstream"
2014-01-24,11.7979166666667,"Upstream1","Before","Upstream"
2014-01-25,11.5377791666667,"Upstream1","Before","Upstream"
2014-01-26,12.0788541666667,"Upstream1","Before","Upstream"
2014-01-27,12.376459375,"Upstream1","Before","Upstream"
2014-01-28,12.416809375,"Upstream1","Before","Upstream"
2014-01-29,12.822678125,"Upstream1","Before","Upstream"
2014-01-30,12.947253125,"Upstream1","Before","Upstream"
2014-01-31,12.946009375,"Upstream1","Before","Upstream"
2014-02-01,12.82708125,"Upstream1","Before","Upstream"
2014-02-02,12.5924645833333,"Upstream1","Before","Upstream"
2014-02-03,12.267671875,"Upstream1","Before","Upstream"
2014-02-04,12.33145625,"Upstream1","Before","Upstream"
2014-02-05,12.2594395833333,"Upstream1","Before","Upstream"
2014-02-06,12.5521145833333,"Upstream1","Before","Upstream"
2014-02-07,12.6017041666667,"Upstream1","Before","Upstream"
2014-02-08,12.4080239583333,"Upstream1","Before","Upstream"
2014-02-09,12.3032989583333,"Upstream1","Before","Upstream"
2014-02-10,12.36309375,"Upstream1","Before","Upstream"
2014-02-11,12.6928822916667,"Upstream1","Before","Upstream"
2014-02-12,12.817603125,"Upstream1","Before","Upstream"
2014-02-13,12.7112802083333,"Upstream1","Before","Upstream"
2014-02-14,12.6877770833333,"Upstream1","Before","Upstream"
2014-02-15,12.6527416666667,"Upstream1","Before","Upstream"
2014-02-16,12.86496875,"Upstream1","Before","Upstream"
2014-02-17,12.973953125,"Upstream1","Before","Upstream"
2014-02-18,13.0966666666667,"Upstream1","Before","Upstream"
2014-02-19,13.3317020833333,"Upstream1","Before","Upstream"
2014-02-20,13.3319104166667,"Upstream1","Before","Upstream"
2014-02-21,12.945134375,"Upstream1","Before","Upstream"
2014-02-22,12.8537854166667,"Upstream1","Before","Upstream"
2014-02-23,12.787153125,"Upstream1","Before","Upstream"
2014-02-24,12.7257947916667,"Upstream1","Before","Upstream"
2014-02-25,12.76201875,"Upstream1","Before","Upstream"
2014-02-26,12.4456927083333,"Upstream1","Before","Upstream"
2014-02-27,11.97729375,"Upstream1","Before","Upstream"
2014-02-28,11.940034375,"Upstream1","Before","Upstream"
2014-03-01,11.6918760416667,"Upstream1","Before","Upstream"
2014-03-02,11.6125364583333,"Upstream1","Before","Upstream"
2014-03-03,11.321525,"Upstream1","Before","Upstream"
2014-03-04,11.7905864583333,"Upstream1","Before","Upstream"
2014-03-05,11.5296875,"Upstream1","Before","Upstream"
2014-03-06,11.5233666666667,"Upstream1","Before","Upstream"
2014-03-07,12.0617354166667,"Upstream1","Before","Upstream"
2014-03-08,12.04618125,"Upstream1","Before","Upstream"
2014-03-09,11.9890565217391,"Upstream1","Before","Upstream"
2014-03-10,12.142640625,"Upstream1","Before","Upstream"
2014-03-11,12.4783697916667,"Upstream1","Before","Upstream"
2014-03-12,12.3519052083333,"Upstream1","Before","Upstream"
2014-03-13,12.422815625,"Upstream1","Before","Upstream"
2014-03-14,12.6328135416667,"Upstream1","Before","Upstream"
2014-03-15,12.508853125,"Upstream1","Before","Upstream"
2014-03-16,12.3860447916667,"Upstream1","Before","Upstream"
2014-03-17,12.3570864583333,"Upstream1","Before","Upstream"
2014-03-18,12.4180541666667,"Upstream1","Before","Upstream"
2014-03-19,12.4278104166667,"Upstream1","Before","Upstream"
2014-03-20,12.2700333333333,"Upstream1","Before","Upstream"
2014-03-21,12.0667625,"Upstream1","Before","Upstream"
2014-03-22,11.755521875,"Upstream1","Before","Upstream"
2014-03-25,11.0199979166667,"Upstream1","Before","Upstream"
2014-03-26,11.2601729166667,"Upstream1","Before","Upstream"
2014-03-27,11.2313489583333,"Upstream1","Before","Upstream"
2014-03-28,11.0646208333333,"Upstream1","Before","Upstream"
2014-04-02,11.5271833333333,"Upstream1","Before","Upstream"
2014-04-03,11.405003125,"Upstream1","Before","Upstream"
2014-04-04,11.0603854166667,"Upstream1","Before","Upstream"
2014-04-05,10.4787875,"Upstream1","Before","Upstream"
2014-04-06,10.48968125,"Upstream1","Before","Upstream"
2014-04-07,10.2968794791667,"Upstream1","Before","Upstream"
2014-04-08,10.4346880208333,"Upstream1","Before","Upstream"
2014-04-09,10.9613208333333,"Upstream1","Before","Upstream"
2014-04-10,11.0361125,"Upstream1","Before","Upstream"
2014-04-11,10.9457302083333,"Upstream1","Before","Upstream"
2014-04-12,10.8026385416667,"Upstream1","Before","Upstream"
2014-04-13,10.65440625,"Upstream1","Before","Upstream"
2014-04-14,10.2428489583333,"Upstream1","Before","Upstream"
2014-04-15,9.35065979166667,"Upstream1","Before","Upstream"
2014-04-16,9.53569427083333,"Upstream1","Before","Upstream"
2014-04-17,9.86958447916667,"Upstream1","Before","Upstream"
2014-04-18,9.96617635416667,"Upstream1","Before","Upstream"
2014-04-19,9.80239375,"Upstream1","Before","Upstream"
2014-04-20,9.921976875,"Upstream1","Before","Upstream"
2014-04-21,9.75531364583333,"Upstream1","Before","Upstream"
2014-04-22,9.5045140625,"Upstream1","Before","Upstream"
2014-04-23,9.47048552083333,"Upstream1","Before","Upstream"
2014-04-24,9.3246875,"Upstream1","Before","Upstream"
2014-06-04,9.750173125,"Upstream1","Before","Upstream"
2014-06-05,9.6109371875,"Upstream1","Before","Upstream"
2014-06-06,8.70593760416667,"Upstream1","Before","Upstream"
2014-06-07,8.68118083333333,"Upstream1","Before","Upstream"
2014-06-08,8.68388864583333,"Upstream1","Before","Upstream"
2014-06-09,8.68517375,"Upstream1","Before","Upstream"
2014-06-10,7.98739635416667,"Upstream1","Before","Upstream"
2014-06-11,6.54822916666667,"Upstream1","Before","Upstream"
2014-06-12,6.16201395833333,"Upstream1","Before","Upstream"
2014-06-13,5.93916604166667,"Upstream1","Before","Upstream"
2014-06-14,5.63534729166667,"Upstream1","Before","Upstream"
2014-06-15,5.47597239583333,"Upstream1","Before","Upstream"
2014-06-16,6.32958302083333,"Upstream1","Before","Upstream"
2014-06-17,6.16118052083333,"Upstream1","Before","Upstream"
2014-06-18,6.23253489583333,"Upstream1","Before","Upstream"
2014-06-19,6.43774260416667,"Upstream1","Before","Upstream"
2014-06-20,6.28420166666667,"Upstream1","Before","Upstream"
2014-06-21,6.168194375,"Upstream1","Before","Upstream"
2014-06-22,5.881631875,"Upstream1","Before","Upstream"
2014-06-23,5.92687479166667,"Upstream1","Before","Upstream"
2014-06-24,5.96135427083333,"Upstream1","Before","Upstream"
2014-06-25,5.82107583333333,"Upstream1","Before","Upstream"
2014-06-26,5.44034677083333,"Upstream1","Before","Upstream"
2014-06-27,6.21885385416667,"Upstream1","Before","Upstream"
2014-06-28,6.35871552083333,"Upstream1","Before","Upstream"
2014-06-29,6.36256916666667,"Upstream1","Before","Upstream"
2014-06-30,6.1194790625,"Upstream1","Before","Upstream"
2014-07-01,6.2541315625,"Upstream1","Before","Upstream"
2014-07-02,6.19420135416667,"Upstream1","Before","Upstream"
2014-07-03,6.29173604166667,"Upstream1","Before","Upstream"
2014-07-04,6.36548541666667,"Upstream1","Before","Upstream"
2014-07-05,6.4026040625,"Upstream1","Before","Upstream"
2014-07-06,6.41725729166667,"Upstream1","Before","Upstream"
2014-07-07,6.2484371875,"Upstream1","Before","Upstream"
2014-07-08,6.16052072916667,"Upstream1","Before","Upstream"
2014-07-09,6.1243403125,"Upstream1","Before","Upstream"
2014-07-10,6.28020833333333,"Upstream1","Before","Upstream"
2014-07-11,6.36204864583333,"Upstream1","Before","Upstream"
2014-07-12,6.37378479166667,"Upstream1","Before","Upstream"
2014-07-13,6.127326875,"Upstream1","Before","Upstream"
2014-07-14,5.93062520833333,"Upstream1","Before","Upstream"
2014-07-15,5.78243083333333,"Upstream1","Before","Upstream"
2014-07-16,6.32902770833333,"Upstream1","Before","Upstream"
2014-07-17,6.1914584375,"Upstream1","Before","Upstream"
2014-07-18,6.10732625,"Upstream1","Before","Upstream"
2014-07-19,6.48489625,"Upstream1","Before","Upstream"
2014-07-20,6.28861125,"Upstream1","Before","Upstream"
2014-07-21,6.10006916666667,"Upstream1","Before","Upstream"
2014-07-22,6.1496525,"Upstream1","Before","Upstream"
2014-07-23,5.91496541666667,"Upstream1","Before","Upstream"
2014-07-24,5.7552078125,"Upstream1","Before","Upstream"
2014-07-25,6.111909375,"Upstream1","Before","Upstream"
2014-07-26,5.76590260416667,"Upstream1","Before","Upstream"
2014-07-27,6.1168228125,"Upstream1","Before","Upstream"
2014-07-28,6.38812541666667,"Upstream1","Before","Upstream"
2014-07-29,6.39767375,"Upstream1","Before","Upstream"
2014-07-30,6.47055541666667,"Upstream1","Before","Upstream"
2014-07-31,6.4752434375,"Upstream1","Before","Upstream"
2014-08-01,6.3589584375,"Upstream1","Before","Upstream"
2014-08-02,6.55461822916667,"Upstream1","Before","Upstream"
2014-08-03,6.6923953125,"Upstream1","Before","Upstream"
2014-08-04,6.54989635416667,"Upstream1","Before","Upstream"
2014-08-05,6.432535,"Upstream1","Before","Upstream"
