"site","Time","Date","Dissolved.Oxygen","TimeStamp"
"NeuseUp1","07:30:00","2017-09-28",5.99333,"After"
"NeuseUp1","07:45:00","2017-09-28",5.98,"After"
"NeuseUp1","08:00:00","2017-09-28",5.98333,"After"
"NeuseUp1","08:15:00","2017-09-28",5.97333,"After"
"NeuseUp1","08:30:00","2017-09-28",5.98667,"After"
"NeuseUp1","08:45:00","2017-09-28",5.98,"After"
"NeuseUp1","09:00:00","2017-09-28",5.97,"After"
"NeuseUp1","09:15:00","2017-09-28",5.94667,"After"
"NeuseUp1","09:30:00","2017-09-28",5.92,"After"
"NeuseUp1","09:45:00","2017-09-28",5.97,"After"
"NeuseUp1","10:00:00","2017-09-28",5.97667,"After"
"NeuseUp1","10:15:00","2017-09-28",5.98,"After"
"NeuseUp1","10:30:00","2017-09-28",5.98,"After"
"NeuseUp1","10:45:00","2017-09-28",5.98667,"After"
"NeuseUp1","11:00:00","2017-09-28",5.99333,"After"
"NeuseUp1","11:15:00","2017-09-28",5.98,"After"
"NeuseUp1","11:30:00","2017-09-28",5.98333,"After"
"NeuseUp1","12:00:00","2017-09-28",5.98,"After"
"NeuseUp1","12:15:00","2017-09-28",5.96333,"After"
"NeuseUp1","13:00:00","2017-09-28",5.99667,"After"
"NeuseUp1","06:45:00","2017-09-29",5.97,"After"
"NeuseUp1","07:00:00","2017-09-29",5.94667,"After"
"NeuseUp1","07:15:00","2017-09-29",5.95,"After"
"NeuseUp1","07:30:00","2017-09-29",5.96667,"After"
"NeuseUp1","07:45:00","2017-09-29",5.90667,"After"
"NeuseUp1","08:00:00","2017-09-29",5.89667,"After"
"NeuseUp1","08:15:00","2017-09-29",5.89333,"After"
"NeuseUp1","08:30:00","2017-09-29",5.89,"After"
"NeuseUp1","08:45:00","2017-09-29",5.88667,"After"
"NeuseUp1","09:00:00","2017-09-29",5.87333,"After"
"NeuseUp1","09:15:00","2017-09-29",5.87333,"After"
"NeuseUp1","09:30:00","2017-09-29",5.90667,"After"
"NeuseUp1","09:45:00","2017-09-29",5.91,"After"
"NeuseUp1","10:00:00","2017-09-29",5.91,"After"
"NeuseUp1","10:15:00","2017-09-29",5.89,"After"
"NeuseUp1","10:30:00","2017-09-29",5.89667,"After"
"NeuseUp1","10:45:00","2017-09-29",5.89,"After"
"NeuseUp1","11:00:00","2017-09-29",5.88,"After"
"NeuseUp1","11:15:00","2017-09-29",5.88333,"After"
"NeuseUp1","11:30:00","2017-09-29",5.91333,"After"
"NeuseUp1","11:45:00","2017-09-29",5.87,"After"
"NeuseUp1","12:00:00","2017-09-29",5.91333,"After"
"NeuseUp1","12:15:00","2017-09-29",5.92333,"After"
"NeuseUp1","12:30:00","2017-09-29",5.97667,"After"
"NeuseUp1","13:00:00","2017-09-29",5.97667,"After"
"NeuseUp1","10:45:00","2018-02-27",5.74,"After"
"NeuseUp1","11:00:00","2018-02-27",5.73667,"After"
"NeuseUp1","11:15:00","2018-02-27",5.93333,"After"
"NeuseUp1","07:00:00","2018-03-12",5.99,"After"
"NeuseUp1","07:15:00","2018-03-12",5.97333,"After"
"NeuseUp1","07:30:00","2018-03-12",5.96,"After"
"NeuseUp1","07:45:00","2018-03-12",5.93333,"After"
"NeuseUp1","08:00:00","2018-03-12",5.88,"After"
"NeuseUp1","08:15:00","2018-03-12",5.81333,"After"
"NeuseUp1","08:30:00","2018-03-12",5.8,"After"
"NeuseUp1","08:45:00","2018-03-12",5.8,"After"
"NeuseUp1","09:00:00","2018-03-12",5.78333,"After"
"NeuseUp1","09:15:00","2018-03-12",5.81667,"After"
"NeuseUp1","09:30:00","2018-03-12",5.8,"After"
"NeuseUp1","09:45:00","2018-03-12",5.81,"After"
"NeuseUp1","10:00:00","2018-03-12",5.9,"After"
"NeuseUp1","10:15:00","2018-03-12",5.92333,"After"
"NeuseUp1","10:30:00","2018-03-12",5.93333,"After"
"NeuseUp1","10:45:00","2018-03-12",5.94333,"After"
"NeuseUp1","11:00:00","2018-03-12",5.92667,"After"
"NeuseUp1","11:15:00","2018-03-12",5.91333,"After"
"NeuseUp1","11:30:00","2018-03-12",5.91,"After"
"NeuseUp1","11:45:00","2018-03-12",5.93333,"After"
"NeuseUp1","12:15:00","2018-06-14",5.79,"After"
"NeuseUp1","05:30:00","2018-06-20",6,"After"
"NeuseUp1","05:45:00","2018-06-20",5.96667,"After"
"NeuseUp1","06:00:00","2018-06-20",5.97,"After"
"NeuseUp1","06:15:00","2018-06-20",5.94667,"After"
"NeuseUp1","06:30:00","2018-06-20",5.93333,"After"
"NeuseUp1","06:45:00","2018-06-20",5.94667,"After"
"NeuseUp1","07:00:00","2018-06-20",5.91333,"After"
"NeuseUp1","07:15:00","2018-06-20",5.93,"After"
"NeuseUp1","07:30:00","2018-06-20",5.94,"After"
"NeuseUp1","07:45:00","2018-06-20",5.93333,"After"
"NeuseUp1","08:00:00","2018-06-20",5.92,"After"
"NeuseUp1","08:15:00","2018-06-20",5.93333,"After"
"NeuseUp1","08:30:00","2018-06-20",5.92667,"After"
"NeuseUp1","08:45:00","2018-06-20",5.93,"After"
"NeuseUp1","09:00:00","2018-06-20",5.96667,"After"
"NeuseUp1","09:15:00","2018-06-20",5.95333,"After"
"NeuseUp1","09:30:00","2018-06-20",5.97333,"After"
"NeuseUp1","09:45:00","2018-06-20",5.97667,"After"
"NeuseUp1","10:00:00","2018-06-20",5.96,"After"
"NeuseUp1","10:15:00","2018-06-20",5.98,"After"
"NeuseUp1","10:30:00","2018-06-20",5.97333,"After"
"NeuseUp1","10:45:00","2018-06-20",5.98333,"After"
"NeuseUp1","11:15:00","2018-06-20",5.98333,"After"
"NeuseUp1","04:15:00","2018-06-21",5.99333,"After"
"NeuseUp1","04:30:00","2018-06-21",5.97667,"After"
"NeuseUp1","04:45:00","2018-06-21",5.95,"After"
"NeuseUp1","05:00:00","2018-06-21",5.93667,"After"
"NeuseUp1","05:15:00","2018-06-21",5.92,"After"
"NeuseUp1","05:30:00","2018-06-21",5.9,"After"
"NeuseUp1","05:45:00","2018-06-21",5.87333,"After"
"NeuseUp1","06:00:00","2018-06-21",5.84667,"After"
"NeuseUp1","06:15:00","2018-06-21",5.81667,"After"
"NeuseUp1","06:30:00","2018-06-21",5.83333,"After"
"NeuseUp1","06:45:00","2018-06-21",5.93333,"After"
