"Date","AvgDO","Site"
2014-04-20,9.921976875,"Upstream1"
2014-04-21,9.75531364583333,"Upstream1"
2014-04-22,9.5045140625,"Upstream1"
2014-04-23,9.47048552083333,"Upstream1"
2014-04-24,9.3246875,"Upstream1"
2014-04-25,NA,"Upstream1"
2014-06-03,NA,"Upstream1"
2014-06-04,9.750173125,"Upstream1"
2014-06-05,9.6109371875,"Upstream1"
2014-06-06,8.70593760416667,"Upstream1"
2014-06-07,8.68118083333333,"Upstream1"
2014-06-08,8.68388864583333,"Upstream1"
2014-06-09,8.68517375,"Upstream1"
2014-06-10,7.98739635416667,"Upstream1"
2014-06-11,6.54822916666667,"Upstream1"
2014-06-12,6.16201395833333,"Upstream1"
2014-06-13,5.93916604166667,"Upstream1"
2014-06-14,5.63534729166667,"Upstream1"
2014-06-15,5.47597239583333,"Upstream1"
2014-06-16,6.32958302083333,"Upstream1"
2014-06-17,6.16118052083333,"Upstream1"
2014-06-18,6.23253489583333,"Upstream1"
2014-06-19,6.43774260416667,"Upstream1"
2014-06-20,6.28420166666667,"Upstream1"
2014-06-21,6.168194375,"Upstream1"
2014-06-22,5.881631875,"Upstream1"
2014-06-23,5.92687479166667,"Upstream1"
2014-06-24,5.96135427083333,"Upstream1"
2014-06-25,5.82107583333333,"Upstream1"
2014-06-26,5.44034677083333,"Upstream1"
2014-06-27,6.21885385416667,"Upstream1"
2014-06-28,6.35871552083333,"Upstream1"
2014-06-29,6.36256916666667,"Upstream1"
2014-06-30,6.1194790625,"Upstream1"
2014-07-01,6.2541315625,"Upstream1"
2014-07-02,6.19420135416667,"Upstream1"
2014-07-03,6.29173604166667,"Upstream1"
2014-07-04,6.36548541666667,"Upstream1"
2014-07-05,6.4026040625,"Upstream1"
2014-07-06,6.41725729166667,"Upstream1"
2014-07-07,6.2484371875,"Upstream1"
2014-07-08,6.16052072916667,"Upstream1"
2014-07-09,6.1243403125,"Upstream1"
2014-07-10,6.28020833333333,"Upstream1"
2014-07-11,6.36204864583333,"Upstream1"
2014-07-12,6.37378479166667,"Upstream1"
2014-07-13,6.127326875,"Upstream1"
2014-07-14,5.93062520833333,"Upstream1"
2014-07-15,5.78243083333333,"Upstream1"
2014-07-16,6.32902770833333,"Upstream1"
2014-07-17,6.1914584375,"Upstream1"
2014-07-18,6.10732625,"Upstream1"
2014-07-19,6.48489625,"Upstream1"
2014-07-20,6.28861125,"Upstream1"
2014-07-21,6.10006916666667,"Upstream1"
2014-07-22,6.1496525,"Upstream1"
2014-07-23,5.91496541666667,"Upstream1"
2014-07-24,5.7552078125,"Upstream1"
2014-07-25,6.111909375,"Upstream1"
2014-07-26,5.76590260416667,"Upstream1"
2014-07-27,6.1168228125,"Upstream1"
2014-07-28,6.38812541666667,"Upstream1"
2014-07-29,6.39767375,"Upstream1"
2014-07-30,6.47055541666667,"Upstream1"
2014-07-31,6.4752434375,"Upstream1"
2014-08-01,6.3589584375,"Upstream1"
2014-08-02,6.55461822916667,"Upstream1"
2014-08-03,6.6923953125,"Upstream1"
2014-08-04,6.54989635416667,"Upstream1"
2014-08-05,6.432535,"Upstream1"
2014-08-06,6.4584725,"Upstream1"
2014-08-07,6.60079875,"Upstream1"
2014-08-08,6.60079854166667,"Upstream1"
2014-08-09,6.57770802083333,"Upstream1"
2014-08-10,6.88864583333333,"Upstream1"
2014-08-11,6.64559041666667,"Upstream1"
2014-08-12,6.423125,"Upstream1"
2014-08-13,6.38177052083333,"Upstream1"
2014-08-14,6.99510416666667,"Upstream1"
2014-08-15,6.83812479166667,"Upstream1"
2014-08-16,6.79795135416667,"Upstream1"
2014-08-17,6.37527833333333,"Upstream1"
2014-08-18,5.98458375,"Upstream1"
2014-08-20,NA,"Upstream1"
2014-08-21,NA,"Upstream1"
2014-08-22,NA,"Upstream1"
2014-08-23,NA,"Upstream1"
2014-08-24,NA,"Upstream1"
2014-08-25,NA,"Upstream1"
2014-08-26,NA,"Upstream1"
2014-08-27,6.64920104166667,"Upstream1"
2014-08-28,6.51048614583333,"Upstream1"
2014-08-29,6.4664928125,"Upstream1"
2014-08-30,6.44149322916667,"Upstream1"
2014-08-31,6.31940979166667,"Upstream1"
2014-09-01,6.19170145833333,"Upstream1"
2014-09-02,6.22225697916667,"Upstream1"
2014-09-03,6.1467709375,"Upstream1"
2014-09-04,6.03767364583333,"Upstream1"
2014-09-05,6.62173645833333,"Upstream1"
2014-09-06,6.39149302083333,"Upstream1"
2014-09-07,6.13371520833333,"Upstream1"
2014-09-08,6.228923125,"Upstream1"
2014-09-09,6.62854166666667,"Upstream1"
2014-09-10,6.45381958333333,"Upstream1"
2014-09-11,6.34156270833333,"Upstream1"
2014-09-12,6.38659739583333,"Upstream1"
2014-09-13,6.56097166666667,"Upstream1"
2014-09-14,6.706006875,"Upstream1"
2014-09-15,6.84406229166667,"Upstream1"
2014-09-16,6.74756958333333,"Upstream1"
2014-09-17,6.68795125,"Upstream1"
2014-09-18,NA,"Upstream1"
2014-09-19,6.85947958333333,"Upstream1"
2014-09-20,6.93163208333333,"Upstream1"
2014-09-21,6.82413260416667,"Upstream1"
2014-09-22,6.7767709375,"Upstream1"
2014-09-23,6.99708322916667,"Upstream1"
2014-09-24,7.48899302083333,"Upstream1"
2014-09-25,7.74524322916667,"Upstream1"
2014-09-26,7.48673677083333,"Upstream1"
2014-09-27,7.47430552083333,"Upstream1"
2014-09-28,7.4475346875,"Upstream1"
2014-09-29,7.3195309375,"Upstream1"
2014-09-30,7.35822916666667,"Upstream1"
2014-10-01,7.4049303125,"Upstream1"
2014-10-02,7.33027739583333,"Upstream1"
2014-10-03,7.18097208333333,"Upstream1"
2014-10-04,6.96291697916667,"Upstream1"
2014-10-05,7.46527802083333,"Upstream1"
2014-10-06,7.55881916666667,"Upstream1"
2014-10-07,7.43421864583333,"Upstream1"
2014-10-08,7.40715291666667,"Upstream1"
2014-10-09,7.47767375,"Upstream1"
2014-10-10,7.54552114583333,"Upstream1"
2014-10-11,7.34086760416667,"Upstream1"
2014-10-12,7.29350729166667,"Upstream1"
2014-10-13,7.51739604166667,"Upstream1"
2014-10-14,7.41347197916667,"Upstream1"
2014-10-15,7.32628489583333,"Upstream1"
2014-10-16,7.53163177083333,"Upstream1"
2014-10-17,7.54802010416667,"Upstream1"
2014-10-18,7.47635427083333,"Upstream1"
2014-10-19,7.5437503125,"Upstream1"
2014-10-20,7.61937489583333,"Upstream1"
2014-10-21,7.6142015625,"Upstream1"
2014-10-22,7.91729197916667,"Upstream1"
