"Date","AvgDO","Site","TimeStamp","Location"
2018-01-17,12.2685760416667,"Upstream1","After","Upstream1"
2018-01-18,12.7566604166667,"Upstream1","After","Upstream1"
2018-01-19,12.8088583333333,"Upstream1","After","Upstream1"
2018-01-20,12.54256875,"Upstream1","After","Upstream1"
2018-01-21,12.34035,"Upstream1","After","Upstream1"
2018-01-22,12.2157645833333,"Upstream1","After","Upstream1"
2018-01-23,11.2422916666667,"Upstream1","After","Upstream1"
2018-01-24,11.154896875,"Upstream1","After","Upstream1"
2018-01-25,11.5299645833333,"Upstream1","After","Upstream1"
2018-01-26,11.7979822916667,"Upstream1","After","Upstream1"
2018-01-27,11.528853125,"Upstream1","After","Upstream1"
2018-01-28,10.606803125,"Upstream1","After","Upstream1"
2018-01-29,10.5837875,"Upstream1","After","Upstream1"
2018-01-30,11.3442729166667,"Upstream1","After","Upstream1"
2018-01-31,11.8743041666667,"Upstream1","After","Upstream1"
2018-02-01,11.7824322916667,"Upstream1","After","Upstream1"
2018-02-02,11.2252770833333,"Upstream1","After","Upstream1"
2018-02-03,12.2277770833333,"Upstream1","After","Upstream1"
2018-02-04,12.0396541666667,"Upstream1","After","Upstream1"
2018-02-05,11.5550020833333,"Upstream1","After","Upstream1"
2018-02-06,11.9408354166667,"Upstream1","After","Upstream1"
2018-02-07,11.5833677083333,"Upstream1","After","Upstream1"
2018-02-08,11.291253125,"Upstream1","After","Upstream1"
2018-02-09,11.8450677083333,"Upstream1","After","Upstream1"
2018-02-10,11.5382635416667,"Upstream1","After","Upstream1"
2018-02-11,10.9455916666667,"Upstream1","After","Upstream1"
2018-02-12,10.5161829166667,"Upstream1","After","Upstream1"
2018-02-13,11.0272208333333,"Upstream1","After","Upstream1"
2018-02-14,11.27166875,"Upstream1","After","Upstream1"
2018-02-15,10.5111820833333,"Upstream1","After","Upstream1"
2018-02-16,10.1811086458333,"Upstream1","After","Upstream1"
2018-02-17,9.6381596875,"Upstream1","After","Upstream1"
2018-02-18,10.082815625,"Upstream1","After","Upstream1"
2018-02-19,9.49479041666667,"Upstream1","After","Upstream1"
2018-02-20,9.131598125,"Upstream1","After","Upstream1"
2018-02-21,8.6848609375,"Upstream1","After","Upstream1"
2018-02-22,9.3630925,"Upstream1","After","Upstream1"
2018-02-23,9.36065739583333,"Upstream1","After","Upstream1"
2018-02-24,9.24052135416667,"Upstream1","After","Upstream1"
2018-02-25,8.47763885416667,"Upstream1","After","Upstream1"
2018-02-26,7.88715354166667,"Upstream1","After","Upstream1"
2018-02-27,7.453715625,"Upstream1","After","Upstream1"
2018-02-28,8.03361135416667,"Upstream1","After","Upstream1"
2018-03-01,7.83538208333333,"Upstream1","After","Upstream1"
2018-03-02,8.65093760416667,"Upstream1","After","Upstream1"
2018-03-03,8.79062489583333,"Upstream1","After","Upstream1"
2018-03-04,8.62159729166667,"Upstream1","After","Upstream1"
2018-03-05,8.68374989583333,"Upstream1","After","Upstream1"
2018-03-06,9.01184052083333,"Upstream1","After","Upstream1"
2018-03-07,8.79993020833333,"Upstream1","After","Upstream1"
2018-03-08,8.42822916666667,"Upstream1","After","Upstream1"
2018-03-09,9.26562510416667,"Upstream1","After","Upstream1"
2018-03-10,9.25090322916667,"Upstream1","After","Upstream1"
2018-03-11,8.41713826086957,"Upstream1","After","Upstream1"
2018-03-13,11.197428125,"Upstream1","After","Upstream1"
2018-03-14,10.6409697916667,"Upstream1","After","Upstream1"
2018-03-15,10.8746694736842,"Upstream1","After","Upstream1"
2018-03-16,10.693849375,"Upstream1","After","Upstream1"
2018-03-17,10.740453125,"Upstream1","After","Upstream1"
2018-03-18,10.3994101041667,"Upstream1","After","Upstream1"
2018-03-19,10.42368,"Upstream1","After","Upstream1"
2018-03-20,10.0113876041667,"Upstream1","After","Upstream1"
2018-03-21,10.5428125,"Upstream1","After","Upstream1"
2018-03-22,10.9717697916667,"Upstream1","After","Upstream1"
2018-03-23,11.0737854166667,"Upstream1","After","Upstream1"
2018-03-24,11.2856197916667,"Upstream1","After","Upstream1"
2018-03-25,11.3376697916667,"Upstream1","After","Upstream1"
2018-03-26,11.433121875,"Upstream1","After","Upstream1"
2018-03-27,11.8151395833333,"Upstream1","After","Upstream1"
2018-03-28,11.82208125,"Upstream1","After","Upstream1"
2018-03-29,11.589825,"Upstream1","After","Upstream1"
2018-03-30,11.0947583333333,"Upstream1","After","Upstream1"
2018-03-31,10.9456520833333,"Upstream1","After","Upstream1"
2018-04-01,10.8375354166667,"Upstream1","After","Upstream1"
2018-04-02,10.6698947916667,"Upstream1","After","Upstream1"
2018-04-03,10.4836854166667,"Upstream1","After","Upstream1"
2018-04-04,10.2886447916667,"Upstream1","After","Upstream1"
2018-04-05,10.1000391666667,"Upstream1","After","Upstream1"
2018-04-06,10.0856922916667,"Upstream1","After","Upstream1"
2018-04-07,9.752535,"Upstream1","After","Upstream1"
2018-04-08,9.79764041666667,"Upstream1","After","Upstream1"
2018-04-09,9.7672565625,"Upstream1","After","Upstream1"
2018-04-10,10.0281935416667,"Upstream1","After","Upstream1"
2018-04-11,9.91551958333333,"Upstream1","After","Upstream1"
2018-04-12,9.8386103125,"Upstream1","After","Upstream1"
2018-04-14,8.7617015625,"Upstream1","After","Upstream1"
2018-04-15,8.9389934375,"Upstream1","After","Upstream1"
2018-05-09,8.6587846875,"Upstream1","After","Upstream1"
2018-05-10,8.43312458333333,"Upstream1","After","Upstream1"
2018-05-11,8.40767375,"Upstream1","After","Upstream1"
2018-05-12,8.38989604166667,"Upstream1","After","Upstream1"
2018-05-13,8.36746541666667,"Upstream1","After","Upstream1"
