"Date","MinDO","Location","TimeStamp"
2014-06-11,6.17333,"Upstream1","Before"
2014-06-12,5.74667,"Upstream1","Before"
2014-06-13,5.49,"Upstream1","Before"
2014-06-14,5.24667,"Upstream1","Before"
2014-06-15,4.47,"Upstream1","Before"
2014-06-16,4.64,"Upstream1","Before"
2014-06-17,5.66333,"Upstream1","Before"
2014-06-18,5.64333,"Upstream1","Before"
2014-06-19,5.99,"Upstream1","Before"
2014-06-20,5.86,"Upstream1","Before"
2014-06-21,5.74333,"Upstream1","Before"
2014-06-22,5.43333,"Upstream1","Before"
2014-06-23,5.20667,"Upstream1","Before"
2014-06-24,5.61,"Upstream1","Before"
2014-06-25,5.18,"Upstream1","Before"
2014-06-26,4.81667,"Upstream1","Before"
2014-06-27,5.78333,"Upstream1","Before"
2014-06-28,5.96667,"Upstream1","Before"
2014-06-29,5.96667,"Upstream1","Before"
2014-06-30,5.51333,"Upstream1","Before"
2014-07-01,5.74667,"Upstream1","Before"
2014-07-02,5.7,"Upstream1","Before"
2014-07-03,5.9,"Upstream1","Before"
2014-07-04,5.97,"Upstream1","Before"
2014-07-05,5.92667,"Upstream1","Before"
2014-07-06,5.98,"Upstream1","Before"
2014-07-07,5.80667,"Upstream1","Before"
2014-07-08,5.60333,"Upstream1","Before"
2014-07-09,5.48667,"Upstream1","Before"
2014-07-10,5.71333,"Upstream1","Before"
2014-07-11,5.92667,"Upstream1","Before"
2014-07-12,5.90667,"Upstream1","Before"
2014-07-13,5.67,"Upstream1","Before"
2014-07-14,5.27,"Upstream1","Before"
2014-07-15,5.22333,"Upstream1","Before"
2014-07-16,6.06,"Upstream1","Before"
2014-07-17,5.86,"Upstream1","Before"
2014-07-18,5.56333,"Upstream1","Before"
2014-07-19,6.11667,"Upstream1","Before"
2014-07-20,5.9,"Upstream1","Before"
2014-07-21,5.72667,"Upstream1","Before"
2014-07-22,5.87333,"Upstream1","Before"
2014-07-23,5.51333,"Upstream1","Before"
2014-07-24,5.42333,"Upstream1","Before"
2014-07-25,5.59667,"Upstream1","Before"
2014-07-26,5.40333,"Upstream1","Before"
2014-07-27,5.67333,"Upstream1","Before"
2014-07-28,6.06667,"Upstream1","Before"
2014-07-29,6.03,"Upstream1","Before"
2014-07-30,6.1,"Upstream1","Before"
2014-07-31,6.10333,"Upstream1","Before"
2014-08-01,6.02,"Upstream1","Before"
2014-08-02,6.28,"Upstream1","Before"
2014-08-03,6.43333,"Upstream1","Before"
2014-08-04,6.32667,"Upstream1","Before"
2014-08-05,6.10667,"Upstream1","Before"
2014-08-06,6.08667,"Upstream1","Before"
2014-08-07,6.25667,"Upstream1","Before"
2014-08-08,6.20667,"Upstream1","Before"
2014-08-09,6.26333,"Upstream1","Before"
2014-08-10,6.71,"Upstream1","Before"
2014-08-11,6.27,"Upstream1","Before"
2014-08-12,6.04667,"Upstream1","Before"
2014-08-13,6.02667,"Upstream1","Before"
2014-08-14,6.76667,"Upstream1","Before"
2014-08-15,6.63667,"Upstream1","Before"
2014-08-16,6.42667,"Upstream1","Before"
2014-08-17,6.12667,"Upstream1","Before"
2014-08-18,5.72333,"Upstream1","Before"
2014-08-26,6.5,"Upstream1","Before"
2014-08-27,6.34,"Upstream1","Before"
2014-08-28,5.11,"Upstream1","Before"
2014-08-29,6.06333,"Upstream1","Before"
2014-08-30,6.09667,"Upstream1","Before"
2014-08-31,5.85,"Upstream1","Before"
2014-09-01,5.56667,"Upstream1","Before"
2014-09-02,5.75667,"Upstream1","Before"
2014-09-03,5.59,"Upstream1","Before"
2014-09-04,5.26333,"Upstream1","Before"
2014-09-05,6.21667,"Upstream1","Before"
2014-09-06,5.86,"Upstream1","Before"
2014-09-07,5.65667,"Upstream1","Before"
2014-09-08,5.70333,"Upstream1","Before"
2014-09-09,6.48667,"Upstream1","Before"
2014-09-10,6.18333,"Upstream1","Before"
2014-09-11,6.07667,"Upstream1","Before"
2014-09-12,5.99333,"Upstream1","Before"
2014-09-13,6.36,"Upstream1","Before"
2014-09-14,6.33333,"Upstream1","Before"
2014-09-15,6.66,"Upstream1","Before"
2014-09-16,6.60667,"Upstream1","Before"
2014-09-17,6.42,"Upstream1","Before"
2014-09-18,4.19667,"Upstream1","Before"
2014-09-19,6.62667,"Upstream1","Before"
2014-09-20,6.74333,"Upstream1","Before"
2014-09-21,6.6,"Upstream1","Before"
2014-09-22,6.48333,"Upstream1","Before"
2014-09-23,6.64667,"Upstream1","Before"
2014-09-24,7.12667,"Upstream1","Before"
2014-09-25,7.53667,"Upstream1","Before"
2014-09-26,7.36,"Upstream1","Before"
2014-09-27,7.31333,"Upstream1","Before"
2014-09-28,7.23667,"Upstream1","Before"
2014-09-29,7.13333,"Upstream1","Before"
2014-09-30,7.19667,"Upstream1","Before"
2014-10-01,7.20667,"Upstream1","Before"
2014-10-02,7.15667,"Upstream1","Before"
2014-10-03,7.02333,"Upstream1","Before"
2014-10-04,6.68,"Upstream1","Before"
2014-10-05,7.14,"Upstream1","Before"
2014-10-06,7.33333,"Upstream1","Before"
2014-10-07,7.11333,"Upstream1","Before"
2014-10-08,7.15333,"Upstream1","Before"
2014-10-09,7.19,"Upstream1","Before"
2014-10-10,7.32667,"Upstream1","Before"
2014-10-11,7.08667,"Upstream1","Before"
2014-10-12,7.13,"Upstream1","Before"
2014-10-13,7.26,"Upstream1","Before"
2014-10-14,7.20667,"Upstream1","Before"
2014-10-15,7.00667,"Upstream1","Before"
2014-10-16,7.39667,"Upstream1","Before"
2014-10-17,7.35,"Upstream1","Before"
2014-10-18,7.29333,"Upstream1","Before"
2014-10-19,7.2,"Upstream1","Before"
2014-10-20,7.29,"Upstream1","Before"
2014-10-21,7.16333,"Upstream1","Before"
2014-10-22,7.56,"Upstream1","Before"
2014-10-23,7.68667,"Upstream1","Before"
2014-10-24,7.66,"Upstream1","Before"
2014-10-25,7.75667,"Upstream1","Before"
2014-10-26,7.79,"Upstream1","Before"
2014-10-27,7.76,"Upstream1","Before"
2014-10-28,7.87667,"Upstream1","Before"
2014-10-29,7.77667,"Upstream1","Before"
2014-10-30,7.64667,"Upstream1","Before"
2014-10-31,7.83667,"Upstream1","Before"
2014-11-01,7.82667,"Upstream1","Before"
2014-11-02,8.06333,"Upstream1","Before"
2014-11-03,8.37667,"Upstream1","Before"
2014-11-04,8.4,"Upstream1","Before"
2014-11-05,8.38667,"Upstream1","Before"
2014-11-06,8.12333,"Upstream1","Before"
2014-11-07,8.09667,"Upstream1","Before"
2014-11-08,8.31333,"Upstream1","Before"
2014-11-09,8.27667,"Upstream1","Before"
2014-11-10,8.47667,"Upstream1","Before"
2014-11-11,8.44333,"Upstream1","Before"
2014-11-12,7.91333,"Upstream1","Before"
2014-11-13,8.18,"Upstream1","Before"
2014-11-14,8.56333,"Upstream1","Before"
2014-11-15,9.16,"Upstream1","Before"
2014-11-16,9.31,"Upstream1","Before"
2014-11-17,8.98,"Upstream1","Before"
2014-11-18,8.39333,"Upstream1","Before"
2014-11-19,9.63667,"Upstream1","Before"
2014-11-20,9.48333,"Upstream1","Before"
2014-11-21,9.40333,"Upstream1","Before"
2014-11-22,10.14,"Upstream1","Before"
2014-11-23,10,"Upstream1","Before"
2014-11-24,9.10333,"Upstream1","Before"
2014-11-25,8.95333,"Upstream1","Before"
2014-11-26,9.47,"Upstream1","Before"
2014-11-27,9.78,"Upstream1","Before"
2014-11-28,10,"Upstream1","Before"
2014-11-29,10.2167,"Upstream1","Before"
2014-11-30,10.1067,"Upstream1","Before"
2014-12-01,9.75333,"Upstream1","Before"
2014-12-02,10.5767,"Upstream1","Before"
2014-12-03,10.73,"Upstream1","Before"
2014-12-04,10.7067,"Upstream1","Before"
